locationName,link,thumbnail,location,category,reviewContent,reviewDate,rating
Carl’s Jr,https://www.yelp.com/biz/carls-jr-westley,https://s3-media1.fl.yelpcdn.com/bphoto/3E0evopQkccYeCgaymV4Gw/90s.jpg,"4437 Howard RdWestley, CA 95387",Fast Food,4 for $4 available here. Great deal. Big hamburger is overpriced at $1.89 or $1.99......................,"5/14/2017
            
                
    
        
    

                Updated review,3/3/2017
            
                Previous review",4.0 star rating
Carl’s Jr.,https://www.yelp.com/biz/carls-jr-ontario-3,https://s3-media4.fl.yelpcdn.com/bphoto/GjChRRN5V-33Zj0lu4bV4A/90s.jpg,"4555 Jurupa StOntario, CA 91761","Burgers,
                    Fast Food",Food was good and service was fast. They don't offer the 4 for $4 real deal. California classic combo is still available for $5.,5/13/2017,4.0 star rating
Carl’s Jr,https://www.yelp.com/biz/carls-jr-gustine-4,https://s3-media2.fl.yelpcdn.com/bphoto/FxJm-8lbJCJeQFLgBAOk0A/90s.jpg,"12260 Hwy 33Gustine, CA 95322","Fast Food,
                    Burgers","Food was good and service was too, but prices are not. They don't have the 4 for $4 real deal. I decided to try the new baby back rib burger combo... $9.99 for the regular single. The double and Angus are even more obviously. It was a tease. Kid's meal for buffet money? Wtf?",5/6/2017,3.0 star rating
China City Super Buffet,https://www.yelp.com/biz/china-city-super-buffet-avondale,https://s3-media1.fl.yelpcdn.com/bphoto/CSDSxceawAukJiKKyEgk7A/90s.jpg,"10040 W Mcdowell RdAvondale, AZ 85392","Buffets,
                    Chinese",Lunch is priced very well around $8.49. I don't remember exactly. Drinks are about $1.69 more. Not too bad. It's your typical Chinese buffet like you'll find across the country. Food is good. Well worth the low price.,5/1/2017,5.0 star rating
Burger King,https://www.yelp.com/biz/burger-king-quartzsite,https://s3-media3.fl.yelpcdn.com/bphoto/uBRJgT46EgjC_WmNZkcZRw/90s.jpg,"1395 W MainQuartzsite, AZ 85346","Burgers,
                    Fast Food",$3.29 deal is a steal. 10 piece nugget is also a good value. Service was very fast. Food was good.,4/29/2017,5.0 star rating
Carl’s Jr,https://www.yelp.com/biz/carls-jr-baker,https://s3-media4.fl.yelpcdn.com/bphoto/MrX335jkUL51aZyleZQ-RA/90s.jpg,"56335 Mojave PointeBaker, CA 92309",Fast Food,"4 for $4 real deal here. Great deal. Big hamburger  $1.99. Not great, not bad. Food was good, service was fast, lobby was clean.",4/27/2017,4.0 star rating
Burger King,https://www.yelp.com/biz/burger-king-barstow-3,https://s3-media2.fl.yelpcdn.com/bphoto/0kNk3CX5YhHnRX7yBgHOCQ/90s.jpg,"2580 High Point BlvdBarstow, CA 92311",Burgers,"They have a few good deals, but a small drink isn't one of them. $1.89... wtf? The breakfast burrito tortilla was dry and hard.",4/26/2017,3.0 star rating
In-N-Out Burger,https://www.yelp.com/biz/in-n-out-burger-centerville-2,https://s3-media3.fl.yelpcdn.com/bphoto/7jeVHB9dGL0YWJBltLKMRA/90s.jpg,"475 N 700th WCenterville, UT 84014","Burgers,
                    Fast Food","This place is very popular and crowded. I don't understand the hype. The burgers are good, but the fries aren't great. They don't have any good deals. Plan on paying about $7 and not getting enough to eat.",4/25/2017,3.0 star rating
Wendy’s,https://www.yelp.com/biz/wendys-bountiful,https://s3-media4.fl.yelpcdn.com/bphoto/cvb_6z44bPuvFNy1Mtwjtw/90s.jpg,"210 W 500th SBountiful, UT 84010","Burgers,
                    Fast Food",4 for $4 was great. They have a self serve drink machine now unlike other locations. They stop taking orders at the counter until the previous order is handed out. I really wish Wendy's would fix that problem.,4/25/2017,4.0 star rating
Alice’s Kitchen,https://www.yelp.com/biz/alices-kitchen-north-salt-lake,https://s3-media3.fl.yelpcdn.com/bphoto/rlxCkJwYO81RNE1uNq6nZg/90s.jpg,"94 N 400th WNorth Salt Lake, UT 84054","Diners,
                    Breakfast & Brunch,
                    American (Traditional)","I got the 1/2 lb cheeseburger. Really good, but not $8.99 good. Not quite enough to eat for the price. They were fast too.",4/25/2017,4.0 star rating
Carl’s Jr Restaurant,https://www.yelp.com/biz/carls-jr-restaurant-buttonwillow,https://s3-media2.fl.yelpcdn.com/bphoto/FVhZvnibXNum_GO92HB7MA/90s.jpg,"20640 Tracy AveButtonwillow, CA 93206",Fast Food,"They offer the 4 for $4 real deal, $5 California classic combo. Great deals. Fast service, clean lobby.",4/16/2017,5.0 star rating
Carson Buffet,https://www.yelp.com/biz/carson-buffet-carson,https://s3-media2.fl.yelpcdn.com/bphoto/p_kPq9d_met9rFy-1ddmIQ/90s.jpg,"888 E Dominguez StCarson, CA 90746","Buffets,
                    Chinese","$14.99 on Saturday and Sunday. Overpriced. Drinks are $1.50, not too bad. The food is good, it's your typical Chinese buffet.",4/15/2017,3.0 star rating
Taco Bell,https://www.yelp.com/biz/taco-bell-las-vegas-35,https://s3-media1.fl.yelpcdn.com/bphoto/ZUL9Tg7Q_Lbj39_aUKEcxA/90s.jpg,"4310 E Craig RoadLas Vegas, NV 89115","Mexican,
                    Tex-Mex,
                    Fast Food","Meal deals $2.99. $1 menu items are $1, but $5 boxes are $5.99. Food is good and service is fast.",4/9/2017,4.0 star rating
Carl’s Jr,https://www.yelp.com/biz/carls-jr-quartzsite-2,https://s3-media4.fl.yelpcdn.com/bphoto/2lKPcyj3IupouQ7P6UKGNw/90s.jpg,"1451 W Main StQuartzsite, AZ 85346","Fast Food,
                    Burgers","They have the 4 for $4 real deal. Big hamburgers are overpriced though at $2.49. They were pretty fast, but my double cheeseburger tasted like it had been sitting there a while. Bread was a bit dry and the meat wasn't warm enough to melt the cheese even a little bit.",4/7/2017,3.0 star rating
Burger King Restaurant,https://www.yelp.com/biz/burger-king-restaurant-wellsville,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/bed0b2a1d9e2/assets/img/default_avatars/business_60_square.png,"670 E Main StWellsville, UT 84339",Restaurants,"$3.29 2 cheeseburger meal. $1.49 10 piece. Killer deals. Food is good, but they're slower than molasses.",4/5/2017,3.0 star rating
Burger King,https://www.yelp.com/biz/burger-king-vacaville-6,https://s3-media3.fl.yelpcdn.com/bphoto/qjsLzts8_V-MCJ1LQqx_Iw/90s.jpg,"171 Crocker DrVacaville, CA 95687",Burgers,"They have a few great deals at the moment. 2 cheeseburger combo for $3.29, 10 piece for $1.49, a few small burgers for $1. They were fast. My rodeo cheeseburger didn't have cheese though. That was odd.",3/29/2017,4.0 star rating
King Buffet,https://www.yelp.com/biz/king-buffet-carson-city-3,https://s3-media3.fl.yelpcdn.com/bphoto/CCbXmaNq8oEdOg4giK3wjw/90s.jpg,"3790 US Hwy 395 SCarson City, NV 89705","Buffets,
                    Chinese","$7.99 for lunch and drinks are $1.59. Not bad. There wasn't a whole lot of food that I like personally, but they have all the typical Chinese food including sushi for those of you who like raw animals.",3/27/2017,4.0 star rating
